name,official_name
affärsverket svenska kraftnät,Affärsverket svenska kraftnät
swedish national grid,Affärsverket svenska kraftnät
svk,Affärsverket svenska kraftnät
"svenska kraftnät, affärsverk",Affärsverket svenska kraftnät
svenska kraftnät,Affärsverket svenska kraftnät
allmänna reklamationsnämnden,Allmänna reklamationsnämnden
national board for consumer disputes,Allmänna reklamationsnämnden
arn,Allmänna reklamationsnämnden
the national board for consumer disputes,Allmänna reklamationsnämnden
arbetsdomstolen,Arbetsdomstolen
labour court,Arbetsdomstolen
ad,Arbetsdomstolen
arbetsförmedlingen,Arbetsförmedlingen
swedish public employment service,Arbetsförmedlingen
af,Arbetsförmedlingen
arbetsmarknadsstyrelsen,Arbetsförmedlingen
amv,Arbetsförmedlingen
arbetsmarknadsverket,Arbetsförmedlingen
arbetsgivarverket,Arbetsgivarverket
swedish agency for government employers,Arbetsgivarverket
agv,Arbetsgivarverket
arbetsmiljöverket,Arbetsmiljöverket
swedish work environment authority,Arbetsmiljöverket
av,Arbetsmiljöverket
arbetarskyddsstyrelsen,Arbetsmiljöverket
barnombudsmannen,Barnombudsmannen
office of the children?s ombudsman,Barnombudsmannen
bo,Barnombudsmannen
ombudsman for children in sweden,Barnombudsmannen
blekinge tekniska högskola,Blekinge tekniska högskola
blekinge institute of technology,Blekinge tekniska högskola
bth,Blekinge tekniska högskola
högskolan i karlskrona/ronneby,Blekinge tekniska högskola
högskolan i karlskrona-ronneby,Blekinge tekniska högskola
hk-r,Blekinge tekniska högskola
bokföringsnämnden,Bokföringsnämnden
swedish accounting standards board,Bokföringsnämnden
bfn,Bokföringsnämnden
bolagsverket,Bolagsverket
swedish companies registration office,Bolagsverket
bolags,Bolagsverket
bv,Bolagsverket
boverket,Boverket
national board of housing building and planning,Boverket
bov,Boverket
"national board of housing, building and planning",Boverket
brottsförebyggande rådet,Brottsförebyggande rådet
national council for crime prevention,Brottsförebyggande rådet
bra,Brottsförebyggande rådet
brå,Brottsförebyggande rådet
